x,y,z
-224,26,-12
-224,26,-12
-224,26,-12
-224,26,-12
-221,28,-11
-221,28,-11
-221,28,-11
-222,33,-10
-222,33,-10
-222,33,-10
-222,33,-10
-222,36,-9
-222,36,-9
-222,36,-9
-221,35,-10
-221,35,-10
-221,35,-10
-221,35,-10
-217,29,-12
-217,29,-12
-217,29,-12
-211,20,-15
-211,20,-15
-211,20,-15
-211,20,-15
-204,11,-16
-204,11,-16
-204,11,-16
-193,2,-18
-193,2,-18
-193,2,-18
-193,2,-18
-180,-6,-19
-180,-6,-19
-180,-6,-19
-166,-14,-21
-166,-14,-21
-166,-14,-21
-166,-14,-21
-154,-18,-22
-154,-18,-22
-154,-18,-22
-145,-18,-21
-145,-18,-21
-145,-18,-21
-138,-15,-17
-138,-15,-17
-138,-15,-17
-138,-15,-17
-133,-10,-14
-133,-10,-14
-133,-10,-14
-128,-10,-13
-128,-10,-13
-128,-10,-13
-123,-9,-13
-123,-9,-13
-123,-9,-13
-123,-9,-13
-117,-8,-13
-117,-8,-13
-117,-8,-13
-110,-9,-13
-110,-9,-13
-110,-9,-13
-110,-9,-13
-103,-9,-12
-103,-9,-12
-103,-9,-12
-97,-6,-11
-97,-6,-11
-97,-6,-11
-97,-6,-11
-89,-4,-9
-89,-4,-9
-89,-4,-9
-89,-4,-9
-74,-2,-6
-74,-2,-6
-74,-2,-6
-53,-2,-3
-53,-2,-3
-53,-2,-3
-53,-2,-3
-29,-2,-2
-29,-2,-2
-29,-2,-2
-29,-2,-2
-6,-2,-1
-6,-2,-1
-6,-2,-1
16,-4,0
16,-4,0
16,-4,0
16,-4,0
38,-3,1
38,-3,1
38,-3,1
38,-3,1
61,-5,1
61,-5,1
61,-5,1
61,-5,1
84,-9,1
84,-9,1
84,-9,1
84,-9,1
105,-8,1
105,-8,1
105,-8,1
105,-8,1
122,-7,2
122,-7,2
122,-7,2
122,-7,2
133,-7,3
133,-7,3
133,-7,3
137,-8,4
137,-8,4
137,-8,4
137,-8,4
140,-10,6
140,-10,6
140,-10,6
140,-10,6
142,-12,8
142,-12,8
142,-12,8
142,-12,8
149,-14,10
149,-14,10
149,-14,10
161,-16,11
161,-16,11
161,-16,11
161,-16,11
176,-17,12
176,-17,12
176,-17,12
192,-17,12
192,-17,12
192,-17,12
192,-17,12
209,-17,12
209,-17,12
209,-17,12
223,-14,11
223,-14,11
223,-14,11
223,-14,11
232,-8,12
232,-8,12
232,-8,12
232,-8,12
237,-3,14
237,-3,14
237,-3,14
238,3,15
238,3,15
238,3,15
238,3,15
238,10,15
238,10,15
238,10,15
238,10,15
236,14,17
236,14,17
236,14,17
236,14,17
234,15,17
234,15,17
234,15,17
235,12,16
235,12,16
235,12,16
235,12,16
237,9,15
237,9,15
237,9,15
237,9,15
239,8,14
239,8,14
239,8,14
240,9,12
240,9,12
240,9,12
240,9,12
240,8,10
240,8,10
240,8,10
240,8,10
241,3,9
241,3,9
241,3,9
241,3,9
237,-1,9
237,-1,9
237,-1,9
237,-1,9
230,-2,12
230,-2,12
230,-2,12
221,0,15
221,0,15
221,0,15
221,0,15
211,0,18
211,0,18
211,0,18
211,0,18
202,0,18
202,0,18
202,0,18
202,0,18
196,-1,17
196,-1,17
196,-1,17
196,-1,17
195,-8,17
195,-8,17
195,-8,17
199,-12,16
199,-12,16
199,-12,16
199,-12,16
202,-17,17
202,-17,17
202,-17,17
200,-24,19
200,-24,19
200,-24,19
200,-24,19
192,-26,18
192,-26,18
192,-26,18
192,-26,16
184,-26,16
184,-26,16
184,-26,16
176,-23,15
176,-23,15
176,-23,15
176,-23,15
167,-20,14
167,-20,14
167,-20,14
155,-20,11
155,-20,11
155,-20,11
155,-20,11
139,-22,8
139,-22,8
139,-22,8
124,-22,6
124,-22,6
124,-22,6
124,-22,6
110,-24,5
110,-24,5
110,-24,5
110,-24,5
99,-27,4
99,-27,4
99,-27,4
99,-27,4
89,-28,3
89,-28,3
89,-28,3
79,-26,3
79,-26,3
79,-26,3
79,-26,3
65,-23,2
65,-23,2
65,-23,2
65,-23,2
50,-19,2
50,-19,2
50,-19,2
50,-19,2
32,-14,2
32,-14,2
32,-14,2
32,-14,2
14,-9,2
14,-9,2
14,-9,2
-4,-6,1
-4,-6,1
-4,-6,1
-4,-6,1
-19,-3,0
-19,-3,0
-19,-3,0
-19,-3,0
-31,-3,0
-31,-3,0
-31,-3,0
