x,y,z
-5,-3,-34
-5,-3,-34
-5,-3,-34
-4,-4,-33
-4,-4,-33
-4,-4,-33
-4,-4,-33
-3,-4,-32
-3,-4,-32
-3,-4,-32
-3,-4,-32
-1,-4,-31
-1,-4,-31
-1,-4,-31
0,-4,-29
0,-4,-29
0,-4,-29
0,-4,-29
0,-4,-27
0,-4,-27
0,-4,-27
0,-4,-27
1,-5,-25
1,-5,-25
1,-5,-25
1,-5,-25
1,-5,-23
1,-5,-23
1,-5,-23
1,-5,-23
2,-5,-21
2,-5,-21
2,-5,-21
1,-5,-18
1,-5,-18
1,-5,-18
1,-5,-18
0,-5,-14
0,-5,-14
0,-5,-14
0,-5,-14
0,-4,-11
0,-4,-11
0,-4,-11
0,-4,-11
0,-4,-8
0,-4,-8
0,-4,-8
0,-4,-8
0,-4,-5
0,-4,-5
0,-4,-5
0,-4,-5
1,-4,-2
1,-4,-2
1,-4,-2
2,-4,0
2,-4,0
2,-4,0
2,-4,0
2,-4,0
2,-4,4
2,-4,4
2,-4,4
2,-4,4
3,-4,8
3,-4,8
3,-4,8
3,-4,8
3,-5,12
3,-5,12
3,-5,12
3,-5,12
2,-4,15
2,-4,15
2,-4,15
2,-4,19
1,-4,19
1,-4,19
1,-4,19
1,-2,22
1,-2,22
1,-2,22
1,-2,22
1,-2,25
1,-2,25
1,-2,25
1,-2,25
2,-1,28
2,-1,28
2,-1,28
2,-1,28
2,0,30
2,0,30
2,0,30
2,0,30
2,0,33
2,0,33
2,0,33
2,0,33
2,0,35
2,0,35
2,0,35
2,0,35
2,0,37
2,0,37
2,0,37
2,0,37
3,-1,40
3,-1,40
3,-1,40
3,-1,40
4,0,42
4,0,42
4,0,42
4,0,42
5,0,44
5,0,44
5,0,44
5,0,44
6,0,44
6,0,44
6,0,44
6,0,44
6,0,45
6,1,45
6,1,45
6,1,45
6,1,45
6,1,46
6,1,46
6,1,46
6,1,46
6,0,47
6,0,47
6,0,47
6,0,47
6,0,48
6,0,48
6,0,48
6,0,48
6,0,47
6,0,47
6,0,47
6,0,47
7,0,47
7,0,47
7,0,47
7,0,47
7,1,46
7,1,46
7,1,46
7,1,46
7,1,45
7,1,45
7,1,45
7,1,45
8,1,45
8,1,45
8,1,45
8,1,45
8,1,46
8,1,46
8,1,46
8,1,46
8,1,46
8,1,46
8,1,46
8,1,46
9,0,47
9,0,47
9,0,47
9,0,47
9,0,48
9,0,48
9,0,48
9,0,48
9,0,48
9,0,48
9,0,48
9,0,48
9,0,48
9,0,48
9,0,48
9,0,48
10,0,49
10,0,49
10,0,49
10,0,49
10,0,49
10,0,49
10,0,49
10,0,49
11,0,49
11,0,49
11,0,49
11,0,49
12,1,49
12,1,49
12,1,49
12,1,49
13,1,48
13,1,48
13,1,48
13,1,48
13,2,47
13,2,47
13,2,47
13,2,47
11,3,45
11,3,45
11,3,45
11,3,45
9,4,44
9,4,44
9,4,44
9,4,44
7,5,41
7,5,41
7,5,41
7,5,41
5,5,39
5,5,39
5,5,39
5,5,39
4,6,38
4,6,38
4,6,38
4,6,38
2,7,37
2,7,37
2,7,37
2,7,37
0,6,35
0,6,35
0,6,35
0,6,35
-2,6,34
-2,6,34
-2,6,34
-2,6,34
-4,5,33
-4,5,33
-4,5,33
-4,5,33
-4,5,31
-4,5,31
-4,5,31
-4,5,31
-3,4,31
-3,4,31
-3,4,31
-3,4,31
